item,freq
我,1287
你,823
不,811
是,757
的,700
吗,569
么,547
有,493
好,443
没,440
这,391
个,382
用,345
说,340
一,299
能,294
在,275
什,267
怎,254
办,240
吧,226
行,226
嗯,223
几,203
话,203
以,194
们,193
下,187
可,186
那,180
给,176
要,172
哦,169
时,166
到,165
费,162
打,154
现,153
听,152
问,149
还,143
理,141
想,137
多,131
钱,131
人,122
再,121
过,115
流,113
电,111
会,110
哪,109
量,109
对,107
号,104
收,101
间,100
知,95
来,94
就,94
车,93
道,90
机,90
里,86
动,85
等,85
卡,84
业,84
信,82
送,81
边,78
活,74
都,73
啥,70
公,68
联,68
上,68
4,67
请,67
接,67
十,66
开,64
看,64
g,63
点,63
务,63
去,62
谢,61
已,61
手,60
太,59
司,58
经,58
事,57
系,57
如,56
后,56
需,56
清,55
充,55
嘞,55
意,54
期,52
很,51
主,51
方,51
样,51
金,50
得,50
修,48
他,48
题,47
码,47
游,45
戏,45
自,45
移,44
息,44
套,43
餐,43
使,42
安,42
见,41
月,41
何,41
款,41
找,41
取,41
准,40
度,39
通,39
别,39
地,39
真,38
客,38
宽,38
家,37
分,37
服,37
带,36
式,35
把,33
也,33
解,33
讲,33
明,33
重,33
最,33
忙,32
错,32
额,32
思,32
干,32
二,32
己,32
本,32
先,32
借,31
网,31
利,31
果,30
直,30
该,30
刚,30
候,30
消,30
门,29
快,29
楚,28
白,28
喂,28
算,27
申,27
外,27
为,27
零,26
儿,26
其,26
烦,26
嘛,26
买,25
全,25
贵,25
前,25
新,25
子,25
八,25
天,25
产,24
保,24
才,24
够,24
骗,24
懂,24
做,23
激,23
转,23
内,23
介,23
绍,23
三,23
正,22
长,22
否,22
着,22
谁,22
百,22
高,22
改,21
岁,21
查,21
告,21
免,21
付,21
贷,20
幺,20
提,20
处,20
1,20
品,19
帮,19
少,19
遍,19
完,19
起,18
玩,18
复,18
房,18
只,18
省,18
四,18
然,18
加,18
考,18
虑,18
位,18
差,18
情,18
器,18
工,17
回,17
朋,17
友,17
诉,17
拿,17
换,17
关,17
发,16
便,16
作,16
挂,16
法,15
五,15
东,15
值,15
记,15
年,15
户,15
单,15
按,15
面,15
稍,15
率,15
觉,14
求,14
确,14
弄,14
细,14
无,14
应,14
国,14
让,14
久,14
超,14
聊,14
些,13
专,13
西,13
认,13
续,13
又,13
出,13
参,13
苹,13
股,13
票,13
址,13
暂,13
跟,13
空,13
常,12
低,12
官,12
忘,12
营,12
从,12
交,12
六,12
赠,12
限,11
成,11
端,11
感,11
预,11
微,11
名,11
约,11
线,11
详,11
厅,11
种,11
区,11
张,11
体,11
音,11
缴,11
销,11
短,11
更,11
支,11
账,11
愿,11
卓,11
但,10
定,10
花,10
测,10
试,10
之,10
牌,10
识,10
障,10
险,10
操,10
留,10
中,10
报,10
叫,10
p,10
老,10
次,9
实,9
功,9
七,9
所,9
丢,9
近,9
补,9
大,9
块,9
穷,9
扰,9
万,9
结,9
管,9
询,9
员,9
麻,9
拒,8
绝,8
平,8
答,8
顾,8
密,8
被,8
件,8
班,8
它,8
具,8
签,8
职,8
咋,8
租,8
维,8
止,8
统,8
每,8
假,8
领,8
o,8
n,8
e,8
银,8
腾,8
讯,8
反,8
非,7
同,7
慢,7
释,7
扣,7
装,7
抱,7
歉,7
抵,7
押,7
置,7
顺,7
序,7
积,7
注,7
兴,7
趣,7
优,7
惠,7
噢,7
催,7
浪,7
版,7
吃,7
截,7
像,7
部,7
气,7
i,7
h,7
当,7
代,7
呗,7
头,6
急,6
享,6
条,6
放,6
脑,6
决,6
类,6
邮,6
0,6
哼,6
字,6
失,6
格,6
小,6
途,6
合,6
生,6
效,6
未,6
唉,6
因,6
退,6
挺,6
继,6
路,6
拨,6
女,6
语,6
和,6
赶,6
划,5
证,5
余,5
满,5
数,5
，,5
比,5
键,5
泄,5
画,5
立,5
声,5
纳,5
程,5
废,5
软,5
价,5
哈,5
骚,5
热,5
容,5
目,5
血,5
糖,5
仪,5
原,5
兆,5
根,5
王,5
台,5
推,5
叻,5
及,5
覆,5
盖,5
午,5
角,5
色,5
商,4
升,4
随,4
住,4
身,4
元,4
必,4
册,4
称,4
姓,4
坐,4
席,4
供,4
马,4
喜,4
欢,4
返,4
态,4
走,4
饭,4
咨,4
冲,4
拜,4
共,4
进,4
况,4
靠,4
露,4
沟,4
Q,4
底,4
荐,4
龄,4
入,4
连,4
投,4
备,4
肯,4
轻,4
学,4
鬼,3
终,3
男,3
师,3
傅,3
较,3
奖,3
励,3
设,3
故,3
存,3
晚,3
概,3
型,3
寄,3
总,3
建,3
宜,3
足,3
早,3
警,3
G,3
哟,3
吵,3
示,3
搞,3
基,3
订,3
滚,3
评,3
难,3
监,3
座,3
表,3
偶,3
尔,3
启,3
千,3
剩,3
婚,3
段,3
喽,3
士,3
制,3
光,3
山,3
举,3
宝,3
或,2
者,2
董,2
辆,2
漏,2
善,2
傻,2
欠,2
乐,2
恋,2
周,2
妈,2
P,2
增,2
乎,2
？,2
规,2
九,2
仔,2
案,2
a,2
院,2
突,2
日,2
任,2
口,2
计,2
汕,2
掉,2
南,2
包,2
呼,2
整,2
源,2
拉,2
姐,2
美,2
私,2
于,2
隐,2
停,2
谱,2
份,2
相,2
录,2
败,2
社,2
教,2
范,2
围,2
环,2
境,2
企,2
变,2
访,2
伙,2
心,2
达,2
北,2
蛮,2
卖,2
托,2
怕,2
异,2
盗,2
猫,2
3,2
紧,2
半,2
受,2
独,2
夫,2
逾,2
历,2
狗,2
讨,2
厌,2
狠,2
施,1
嘉,1
室,1
睡,1
予,1
挡,1
核,1
弃,1
赔,1
登,1
页,1
须,1
寿,1
级,1
逼,1
届,1
曹,1
谈,1
爱,1
钟,1
恁,1
醋,1
观,1
望,1
哥,1
A,1
议,1
农,1
村,1
宣,1
布,1
亲,1
庆,1
凑,1
据,1
断,1
显,1
刷,1
般,1
烧,1
却,1
杂,1
诺,1
亚,1
图,1
唛,1
龙,1
似,1
乡,1
汇,1
居,1
倒,1
亏,1
抽,1
云,1
特,1
除,1
袋,1
挤,1
市,1
乱,1
糟,1
m,1
y,1
形,1
阅,1
读,1
输,1
困,1
另,1
简,1
调,1
药,1
店,1
哇,1
末,1
奔,1
场,1
景,1
象,1
此,1
递,1
第,1
今,1
各,1
屏,1
蔽,1
坏,1
林,1
写,1
疑,1
力,1
呆,1
扬,1
劲,1
尽,1
父,1
母,1
配,1
阿,1
物,1
命,1
矩,1
捷,1
附,1
绑,1
贬,1
楼,1
帐,1
审,1
河,1
蓝,1
束,1
章,1
质,1
载,1
由,1
奶,1
茶,1
闲,1
距,1
离,1
远,1
休,1
昨,1
勇,1
水,1
猪,1
神,1
仙,1
犹,1
豫,1
姚,1
与,1
购,1
栏,1
控,1
搁,1
挣,1
腻,1
径,1
获,1
照,1
智,1
病,1
持,1
烂,1
项,1
状,1
资,1
验,1
胜,1
义,1
O,1
K,1
死,1
迁,1
淘,1
蛋,1
屁,1
虽,1
稳,1
运,1
木,1
油,1
闭,1
性,1
组,1
视,1
棒,1
均,1
选,1
化,1
广,1
妻,1
征,1
2,1
影,1
响,1
灵,1
庄,1
奥,1
速,1
屎,1
